Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;3.016;24.69;4.01;4.01;3.97;3.99
1;3.02;24.69;4.01;4;3.97;3.99
3;3.014;24.69;3.99;4;3.97;3.99
5;3.012;24.69;4;3.98;3.97;3.99
7;3.016;24.69;3.99;4;3.97;3.99
8;3.012;24.69;4;3.98;3.97;3.99
10;3.011;24.69;3.98;4;3.96;3.98
12;3.011;24.69;4;3.97;3.96;3.98
14;3.011;24.62;3.98;3.99;3.96;3.98
16;3.012;24.69;3.99;3.97;3.96;3.98
18;3.011;24.69;3.98;3.99;3.96;3.98
20;3.011;24.69;3.99;3.97;3.96;3.98
22;3.011;24.62;3.97;3.99;3.96;3.98
23;3.007;24.62;3.99;3.97;3.95;3.98
25;3.011;24.69;3.97;3.98;3.95;3.98
27;3.009;24.69;3.99;3.96;3.95;3.97
29;3.009;24.62;3.97;3.98;3.95;3.97
31;3.011;24.62;3.99;3.96;3.95;3.97
33;3.003;24.62;3.97;3.98;3.95;3.97
35;3.003;24.62;3.98;3.96;3.95;3.97
37;3.001;24.62;3.97;3.98;3.95;3.97
38;3;24.62;3.98;3.96;3.95;3.97
40;2.998;24.62;3.97;3.98;3.95;3.97
42;2.996;24.62;3.98;3.96;3.95;3.97
44;3;24.62;3.96;3.98;3.95;3.97
46;2.992;24.62;3.98;3.96;3.95;3.97
48;2.985;24.69;3.96;3.98;3.95;3.97
50;2.987;24.69;3.98;3.96;3.94;3.97
52;2.985;24.62;3.96;3.98;3.94;3.97
53;2.983;24.69;3.98;3.95;3.94;3.97
55;2.987;24.69;3.96;3.97;3.94;3.96
57;2.985;24.62;3.98;3.95;3.94;3.96
59;2.987;24.69;3.96;3.97;3.94;3.96
61;2.983;24.69;3.98;3.95;3.94;3.96
63;2.983;24.69;3.96;3.97;3.94;3.96
65;2.985;24.69;3.97;3.95;3.94;3.96
66;2.983;24.69;3.96;3.97;3.94;3.96
68;2.985;24.69;3.97;3.95;3.94;3.96
70;2.983;24.69;3.96;3.97;3.94;3.96
72;2.981;24.69;3.97;3.95;3.93;3.96
74;2.983;24.69;3.96;3.97;3.93;3.96
76;2.983;24.69;3.97;3.95;3.93;3.96
78;2.983;24.69;3.95;3.97;3.93;3.96
80;2.979;24.69;3.97;3.95;3.93;3.96
81;2.981;24.69;3.95;3.97;3.93;3.96
83;2.983;24.69;3.97;3.95;3.93;3.96
85;2.979;24.69;3.95;3.97;3.93;3.96
87;2.979;24.69;3.97;3.95;3.93;3.96
89;2.981;24.69;3.95;3.97;3.93;3.96
91;2.979;24.69;3.97;3.95;3.93;3.96
93;2.979;24.69;3.95;3.96;3.93;3.96
95;2.974;24.69;3.97;3.94;3.93;3.96
96;2.978;24.69;3.95;3.96;3.93;3.96
98;2.978;24.69;3.97;3.94;3.93;3.96
