Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;2.096;24.56;4;4;3.98;3.98
1;2.099;24.62;4;4;3.98;3.97
3;2.094;24.56;4;3.97;3.98;3.97
5;2.094;24.62;3.98;4;3.98;3.97
6;2.096;24.62;4;3.97;3.98;3.97
8;2.094;24.56;3.97;3.99;3.98;3.97
10;2.092;24.62;4;3.97;3.98;3.97
12;2.092;24.62;3.97;3.99;3.98;3.97
14;2.096;24.62;3.99;3.97;3.97;3.97
16;2.094;24.62;3.97;3.99;3.97;3.97
18;2.09;24.62;3.99;3.97;3.97;3.97
19;2.089;24.56;3.97;3.99;3.97;3.97
21;2.092;24.62;3.99;3.96;3.97;3.97
23;2.089;24.62;3.97;3.99;3.97;3.97
25;2.09;24.62;3.99;3.96;3.97;3.97
27;2.09;24.62;3.97;3.99;3.97;3.97
29;2.09;24.62;3.99;3.96;3.97;3.97
31;2.092;24.62;3.96;3.99;3.97;3.97
33;2.089;24.62;3.99;3.96;3.97;3.97
34;2.087;24.62;3.96;3.98;3.97;3.96
36;2.089;24.62;3.99;3.96;3.97;3.96
38;2.09;24.62;3.96;3.98;3.97;3.96
40;2.089;24.62;3.99;3.96;3.97;3.96
42;2.089;24.62;3.96;3.98;3.97;3.96
44;2.089;24.62;3.98;3.96;3.97;3.96
46;2.089;24.62;3.96;3.98;3.97;3.96
48;2.085;24.62;3.98;3.96;3.97;3.96
49;2.089;24.62;3.96;3.98;3.97;3.96
51;2.087;24.62;3.98;3.96;3.97;3.96
53;2.089;24.62;3.96;3.98;3.97;3.96
55;2.092;24.62;3.98;3.96;3.97;3.96
57;2.085;24.62;3.96;3.98;3.97;3.96
59;2.087;24.62;3.98;3.96;3.97;3.96
61;2.087;24.62;3.96;3.98;3.97;3.96
63;2.087;24.62;3.98;3.96;3.97;3.96
64;2.085;24.62;3.96;3.98;3.97;3.96
66;2.085;24.62;3.98;3.96;3.97;3.96
68;2.087;24.62;3.96;3.98;3.97;3.96
70;2.085;24.62;3.98;3.95;3.97;3.96
72;2.087;24.62;3.96;3.98;3.97;3.96
74;2.083;24.62;3.98;3.95;3.97;3.96
76;2.085;24.62;3.96;3.98;3.97;3.96
78;2.081;24.62;3.98;3.95;3.96;3.96
79;2.087;24.62;3.96;3.98;3.97;3.96
81;2.085;24.62;3.98;3.95;3.96;3.96
83;2.083;24.62;3.95;3.98;3.96;3.96
85;2.087;24.62;3.98;3.95;3.96;3.96
87;2.083;24.62;3.95;3.98;3.96;3.96
89;2.083;24.62;3.98;3.95;3.96;3.96
91;2.087;24.62;3.95;3.98;3.96;3.96
92;2.085;24.62;3.98;3.95;3.96;3.95
94;2.083;24.62;3.95;3.97;3.96;3.96
96;2.083;24.62;3.98;3.95;3.96;3.95
98;2.081;24.62;3.95;3.97;3.96;3.95
100;2.083;24.62;3.98;3.95;3.96;3.95
102;2.083;24.62;3.95;3.97;3.96;3.96
104;2.081;24.62;3.98;3.95;3.96;3.96
106;2.083;24.62;3.95;3.97;3.96;3.96
107;2.083;24.62;3.97;3.95;3.96;3.96
109;2.085;24.62;3.95;3.97;3.96;3.96
111;2.083;24.62;3.97;3.95;3.96;3.96
113;2.08;24.62;3.95;3.97;3.96;3.95
115;2.08;24.62;3.97;3.95;3.96;3.95
117;2.08;24.62;3.95;3.97;3.96;3.95
119;2.083;24.62;3.97;3.95;3.96;3.95
121;2.083;24.62;3.95;3.97;3.96;3.95
122;2.083;24.62;3.97;3.95;3.96;3.95
124;2.08;24.62;3.95;3.97;3.96;3.95
126;2.083;24.62;3.97;3.95;3.96;3.95
128;2.083;24.62;3.95;3.97;3.96;3.95
130;2.081;24.62;3.97;3.95;3.96;3.95
132;2.078;24.69;3.95;3.97;3.96;3.95
134;2.081;24.62;3.97;3.95;3.96;3.95
136;2.083;24.69;3.95;3.97;3.96;3.95
137;2.08;24.62;3.97;3.95;3.96;3.95
139;2.08;24.69;3.95;3.97;3.96;3.95
141;2.08;24.69;3.97;3.95;3.96;3.95
143;2.08;24.69;3.95;3.97;3.96;3.95
145;2.08;24.62;3.97;3.94;3.96;3.95
147;2.078;24.69;3.95;3.97;3.96;3.95
149;2.078;24.69;3.97;3.94;3.96;3.95
151;2.081;24.69;3.95;3.97;3.96;3.95
152;2.08;24.69;3.97;3.94;3.96;3.95
154;2.078;24.69;3.95;3.97;3.96;3.95
156;2.076;24.69;3.97;3.94;3.96;3.95
158;2.08;24.69;3.95;3.97;3.96;3.95
160;2.081;24.69;3.97;3.94;3.96;3.95
162;2.08;24.69;3.95;3.97;3.96;3.95
164;2.078;24.69;3.97;3.94;3.95;3.95
165;2.08;24.69;3.95;3.97;3.95;3.95
167;2.08;24.69;3.97;3.94;3.96;3.95
169;2.076;24.69;3.94;3.96;3.95;3.95
171;2.078;24.69;3.97;3.94;3.96;3.95
173;2.078;24.69;3.94;3.96;3.95;3.95
175;2.08;24.69;3.97;3.94;3.95;3.95
177;2.078;24.69;3.94;3.96;3.95;3.95
179;2.078;24.69;3.97;3.94;3.95;3.95
180;2.083;24.69;3.94;3.96;3.95;3.95
182;2.076;24.69;3.97;3.94;3.95;3.95
184;2.076;24.69;3.94;3.96;3.95;3.95
186;2.069;24.69;3.97;3.94;3.95;3.94
188;2.074;24.69;3.94;3.96;3.95;3.95
190;2.078;24.69;3.97;3.94;3.95;3.95
192;2.08;24.69;3.94;3.96;3.95;3.94
194;2.078;24.69;3.96;3.94;3.95;3.95
195;2.078;24.69;3.94;3.96;3.95;3.95
197;2.074;24.69;3.96;3.94;3.95;3.94
199;2.081;24.69;3.94;3.96;3.95;3.94
201;2.076;24.69;3.96;3.94;3.95;3.95
203;2.076;24.69;3.94;3.96;3.95;3.95
205;2.078;24.69;3.96;3.94;3.95;3.95
207;2.074;24.69;3.94;3.96;3.95;3.95
209;2.076;24.69;3.96;3.94;3.95;3.95
210;2.078;24.69;3.94;3.96;3.95;3.95
212;2.074;24.69;3.96;3.94;3.95;3.94
214;2.072;24.69;3.94;3.96;3.95;3.95
216;2.078;24.69;3.96;3.94;3.95;3.94
218;2.076;24.75;3.94;3.96;3.95;3.95
220;2.074;24.75;3.96;3.94;3.95;3.94
222;2.076;24.75;3.94;3.96;3.95;3.94
224;2.072;24.75;3.96;3.94;3.95;3.94
225;2.072;24.75;3.94;3.96;3.95;3.94
227;2.076;24.75;3.96;3.93;3.95;3.94
229;2.072;24.75;3.94;3.96;3.95;3.94
231;2.072;24.75;3.96;3.93;3.95;3.94
233;2.072;24.75;3.94;3.96;3.95;3.94
235;2.078;24.75;3.96;3.93;3.95;3.94
237;2.074;24.75;3.94;3.96;3.95;3.94
239;2.074;24.75;3.96;3.93;3.95;3.94
240;2.074;24.75;3.94;3.96;3.95;3.94
242;2.071;24.75;3.96;3.93;3.95;3.94
244;2.074;24.75;3.94;3.96;3.95;3.94
246;2.074;24.75;3.96;3.93;3.95;3.94
248;2.071;24.81;3.94;3.96;3.95;3.94
250;2.076;24.75;3.96;3.93;3.95;3.94
252;2.072;24.75;3.94;3.95;3.95;3.94
253;2.076;24.81;3.96;3.93;3.95;3.94
255;2.071;24.81;3.94;3.95;3.95;3.94
257;2.072;24.81;3.96;3.93;3.95;3.94
259;2.074;24.81;3.93;3.95;3.94;3.94
261;2.067;24.81;3.96;3.93;3.95;3.94
263;2.071;24.81;3.93;3.95;3.94;3.94
265;2.069;24.81;3.96;3.93;3.94;3.94
267;2.071;24.81;3.93;3.95;3.94;3.94
268;2.072;24.81;3.96;3.93;3.94;3.94
270;2.072;24.81;3.93;3.95;3.94;3.94
272;2.071;24.81;3.96;3.93;3.94;3.94
274;2.071;24.81;3.93;3.95;3.94;3.94
276;2.074;24.81;3.96;3.93;3.94;3.93
278;2.076;24.81;3.93;3.95;3.94;3.93
280;2.072;24.81;3.96;3.93;3.94;3.93
282;2.069;24.81;3.93;3.95;3.94;3.93
283;2.071;24.81;3.95;3.93;3.94;3.93
285;2.069;24.81;3.93;3.95;3.94;3.93
287;2.072;24.87;3.95;3.93;3.94;3.93
289;2.071;24.81;3.93;3.95;3.94;3.93
291;2.072;24.81;3.95;3.93;3.94;3.93
293;2.071;24.87;3.93;3.95;3.94;3.93
295;2.071;24.87;3.95;3.93;3.94;3.94
297;2.072;24.87;3.93;3.95;3.94;3.93
298;2.069;24.87;3.95;3.93;3.94;3.93
300;2.067;24.87;3.93;3.95;3.94;3.93
302;2.072;24.87;3.95;3.95;3.94;3.93
304;2.072;24.87;3.95;3.95;3.94;3.93
