Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;2.097;25.06;3.97;3.98;3.96;3.93
1;2.092;25.06;3.98;3.96;3.96;3.93
3;2.092;25.06;3.96;3.98;3.96;3.93
5;2.096;25.06;3.99;3.96;3.96;3.93
7;2.094;25.06;3.96;3.98;3.96;3.93
9;2.092;25.06;3.99;3.96;3.96;3.93
11;2.092;25.06;3.96;3.98;3.96;3.93
13;2.09;25.06;3.99;3.95;3.96;3.93
15;2.094;25.06;3.96;3.97;3.96;3.93
16;2.09;25.06;3.99;3.95;3.96;3.93
18;2.092;25.06;3.96;3.97;3.96;3.93
20;2.092;25.06;3.99;3.95;3.96;3.93
22;2.094;25.06;3.96;3.97;3.96;3.93
24;2.092;25.06;3.99;3.95;3.96;3.93
26;2.088;25.06;3.96;3.97;3.96;3.93
28;2.088;25.12;3.98;3.95;3.96;3.93
30;2.088;25.06;3.96;3.97;3.96;3.93
31;2.092;25.06;3.98;3.95;3.96;3.93
33;2.09;25.12;3.96;3.97;3.96;3.93
35;2.088;25.12;3.98;3.95;3.95;3.93
37;2.088;25.12;3.96;3.97;3.95;3.93
39;2.092;25.12;3.98;3.95;3.95;3.93
41;2.09;25.12;3.96;3.97;3.95;3.93
43;2.092;25.12;3.98;3.95;3.95;3.93
44;2.088;25.12;3.96;3.97;3.95;3.93
46;2.088;25.12;3.98;3.95;3.95;3.93
48;2.088;25.12;3.96;3.97;3.95;3.93
50;2.09;25.12;3.98;3.95;3.95;3.93
52;2.092;25.12;3.96;3.97;3.95;3.93
54;2.09;25.12;3.98;3.95;3.95;3.92
56;2.09;25.12;3.96;3.97;3.95;3.92
58;2.087;25.12;3.98;3.95;3.95;3.92
59;2.09;25.12;3.96;3.97;3.95;3.92
61;2.09;25.12;3.98;3.95;3.95;3.92
63;2.088;25.12;3.96;3.97;3.95;3.92
65;2.088;25.12;3.98;3.95;3.95;3.92
67;2.087;25.12;3.96;3.97;3.95;3.92
69;2.085;25.19;3.98;3.95;3.95;3.92
71;2.088;25.12;3.96;3.97;3.95;3.92
73;2.09;25.19;3.98;3.95;3.95;3.92
74;2.087;25.12;3.95;3.97;3.95;3.92
76;2.088;25.12;3.98;3.95;3.95;3.92
78;2.088;25.19;3.95;3.97;3.95;3.92
80;2.085;25.19;3.98;3.95;3.95;3.92
82;2.087;25.19;3.95;3.97;3.95;3.92
84;2.087;25.19;3.98;3.95;3.95;3.92
86;2.085;25.19;3.95;3.97;3.95;3.92
88;2.087;25.19;3.98;3.95;3.95;3.92
89;2.087;25.19;3.95;3.97;3.95;3.92
91;2.085;25.19;3.98;3.95;3.95;3.92
93;2.088;25.19;3.95;3.97;3.95;3.92
95;2.088;25.19;3.98;3.95;3.95;3.92
97;2.085;25.19;3.95;3.97;3.95;3.92
99;2.087;25.19;3.98;3.94;3.95;3.92
101;2.085;25.19;3.95;3.97;3.95;3.92
103;2.085;25.19;3.98;3.94;3.95;3.92
104;2.087;25.19;3.95;3.96;3.95;3.92
106;2.085;25.19;3.98;3.94;3.95;3.92
108;2.087;25.19;3.95;3.96;3.95;3.92
110;2.087;25.19;3.98;3.94;3.95;3.92
112;2.083;25.19;3.95;3.96;3.95;3.92
114;2.087;25.19;3.98;3.94;3.95;3.92
116;2.087;25.19;3.95;3.96;3.95;3.92
117;2.087;25.19;3.98;3.94;3.95;3.92
119;2.087;25.19;3.95;3.96;3.95;3.92
121;2.083;25.25;3.98;3.94;3.95;3.92
123;2.088;25.25;3.95;3.96;3.95;3.92
125;2.087;25.25;3.98;3.94;3.95;3.92
127;2.083;25.25;3.95;3.96;3.95;3.92
129;2.085;25.25;3.97;3.94;3.95;3.92
131;2.085;25.25;3.95;3.96;3.95;3.92
132;2.083;25.25;3.97;3.94;3.95;3.92
134;2.083;25.25;3.95;3.96;3.95;3.92
136;2.083;25.25;3.97;3.94;3.95;3.92
138;2.085;25.25;3.95;3.96;3.95;3.92
140;2.087;25.25;3.97;3.94;3.95;3.92
142;2.088;25.25;3.95;3.96;3.95;3.92
144;2.085;25.25;3.97;3.94;3.95;3.92
146;2.083;25.25;3.95;3.96;3.94;3.92
147;2.085;25.31;3.97;3.94;3.95;3.92
149;2.087;25.25;3.95;3.96;3.94;3.92
151;2.087;25.31;3.97;3.94;3.94;3.92
153;2.079;25.31;3.95;3.96;3.94;3.91
155;2.087;25.31;3.97;3.94;3.94;3.91
157;2.083;25.31;3.95;3.96;3.94;3.91
159;2.083;25.31;3.97;3.94;3.94;3.91
161;2.081;25.31;3.95;3.96;3.94;3.91
162;2.085;25.31;3.97;3.94;3.94;3.91
164;2.081;25.31;3.95;3.96;3.94;3.91
166;2.083;25.31;3.97;3.94;3.94;3.91
168;2.076;25.31;3.95;3.96;3.94;3.91
170;2.081;25.37;3.97;3.94;3.94;3.91
172;2.083;25.37;3.95;3.96;3.94;3.91
