Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.056;23.5;4.08;4.09;4.07;4.06
1;1.056;23.5;4.08;4.08;4.07;4.06
3;1.056;23.5;4.08;4.08;4.07;4.06
5;1.055;23.5;4.08;4.08;4.07;4.06
7;1.051;23.5;4.08;4.08;4.07;4.06
9;1.055;23.5;4.08;4.08;4.07;4.06
11;1.053;23.5;4.08;4.08;4.07;4.06
13;1.053;23.5;4.08;4.08;4.07;4.06
15;1.056;23.5;4.08;4.08;4.07;4.06
16;1.055;23.5;4.08;4.08;4.07;4.06
18;1.053;23.5;4.08;4.08;4.07;4.06
20;1.053;23.5;4.08;4.08;4.07;4.06
22;1.048;23.5;4.08;4.08;4.07;4.06
24;1.05;23.5;4.08;4.08;4.07;4.06
26;1.055;23.5;4.08;4.08;4.07;4.06
28;1.05;23.5;4.08;4.08;4.07;4.06
30;1.051;23.5;4.08;4.08;4.07;4.06
31;1.053;23.5;4.08;4.08;4.07;4.06
33;1.053;23.44;4.08;4.08;4.07;4.06
35;1.053;23.5;4.08;4.08;4.07;4.06
37;1.051;23.44;4.08;4.08;4.07;4.06
39;1.053;23.5;4.08;4.08;4.07;4.06
41;1.055;23.5;4.07;4.08;4.07;4.06
43;1.051;23.5;4.07;4.08;4.07;4.06
44;1.05;23.5;4.07;4.08;4.07;4.05
46;1.048;23.5;4.07;4.08;4.07;4.06
48;1.053;23.5;4.07;4.08;4.07;4.06
50;1.05;23.5;4.07;4.08;4.07;4.06
52;1.053;23.5;4.07;4.08;4.07;4.06
54;1.051;23.5;4.07;4.08;4.07;4.06
56;1.053;23.5;4.07;4.08;4.07;4.05
58;1.053;23.5;4.07;4.08;4.07;4.06
59;1.05;23.44;4.07;4.08;4.07;4.05
61;1.051;23.5;4.07;4.07;4.07;4.05
63;1.048;23.44;4.07;4.07;4.07;4.05
65;1.053;23.44;4.07;4.07;4.06;4.05
67;1.051;23.5;4.07;4.07;4.06;4.05
69;1.053;23.5;4.07;4.07;4.06;4.05
71;1.053;23.5;4.07;4.07;4.06;4.05
73;1.05;23.44;4.07;4.07;4.06;4.06
74;1.05;23.44;4.07;4.07;4.06;4.05
76;1.048;23.5;4.07;4.07;4.06;4.05
78;1.051;23.44;4.07;4.07;4.06;4.05
80;1.055;23.44;4.07;4.07;4.06;4.05
82;1.053;23.44;4.07;4.07;4.06;4.05
84;1.051;23.44;4.07;4.07;4.06;4.05
